funding_sk,funding_id,donor_sk,program_sk,location_sk,time_sk,pledged_amount_usd,received_amount_usd,utilised_amount_usd,balance_usd,utilisation_rate_pct,funding_type,grant_code,reporting_deadline,compliance_status,budget_code,fiscal_year,currency,exchange_rate
25,FND-00025,1,4,5,961,1471927.01,526965.22,501921.98,25043.24,95.2,In-Kind,GRT-71102,2025-05-03,Compliant,BC-150,2024,USD,1.0
26,FND-00026,5,7,12,397,1482825.18,786657.57,769777.98,16879.59,97.9,Pooled,GRT-19717,2023-07-30,Compliant,BC-114,2022,USD,1.0
27,FND-00027,4,5,11,1089,994803.43,343688.76,246681.64,97007.12,71.8,Pooled,GRT-30685,2025-05-15,Compliant,BC-577,2024,USD,1.0
28,FND-00028,2,5,4,928,573180.94,498324.08,334674.18,163649.9,67.2,Loan,GRT-69336,2025-03-05,Compliant,BC-393,2024,USD,1.0
29,FND-00029,1,4,14,939,1418578.95,694407.03,638667.59,55739.44,92.0,Loan,GRT-36440,2025-01-23,Compliant,BC-169,2024,USD,1.0
30,FND-00030,4,5,12,305,583476.83,320314.62,270101.38,50213.24,84.3,Grant,GRT-93953,2023-07-31,Non-Compliant,BC-413,2022,USD,1.0
31,FND-00031,7,10,14,41,44899.99,44663.4,30587.06,14076.34,68.5,In-Kind,GRT-46844,2022-09-02,At Risk,BC-511,2021,USD,1.0
32,FND-00032,2,7,5,384,1486669.06,511501.83,498375.71,13126.12,97.4,Grant,GRT-27025,2023-06-16,Compliant,BC-905,2022,USD,1.0
33,FND-00033,10,9,6,762,1647515.4,1364905.12,1322460.13,42444.99,96.9,Pooled,GRT-55691,2024-10-22,At Risk,BC-205,2023,USD,1.0
34,FND-00034,8,2,2,792,10991.37,5645.06,3772.15,1872.91,66.8,Pooled,GRT-69824,2024-08-11,Compliant,BC-161,2023,USD,1.0
35,FND-00035,1,8,2,1080,627514.38,530051.69,304381.7,225669.99,57.4,Pooled,GRT-65197,2025-04-15,Compliant,BC-142,2024,USD,1.0
36,FND-00036,9,4,7,682,1278815.27,1182466.21,886405.0,296061.21,75.0,Loan,GRT-25783,2024-04-30,Compliant,BC-860,2023,USD,1.0
37,FND-00037,2,9,11,771,827592.38,319895.66,247561.64,72334.02,77.4,Loan,GRT-70513,2025-02-03,Compliant,BC-737,2023,USD,1.0
38,FND-00038,4,5,12,310,987658.25,513246.85,409776.37,103470.48,79.8,In-Kind,GRT-20056,2023-07-20,Compliant,BC-273,2022,USD,1.0
39,FND-00039,10,4,12,1037,1296855.63,538759.14,450380.88,88378.26,83.6,In-Kind,GRT-62328,2025-05-22,Compliant,BC-404,2024,USD,1.0
40,FND-00040,10,2,14,124,1942034.12,1514438.69,1028492.44,485946.25,67.9,In-Kind,GRT-14258,2023-02-21,Compliant,BC-676,2021,USD,1.0
41,FND-00041,3,10,14,913,1371146.72,433593.75,408413.29,25180.46,94.2,Pooled,GRT-29891,2025-01-11,Compliant,BC-130,2024,USD,1.0
42,FND-00042,7,9,5,995,1161986.53,937875.17,805049.08,132826.09,85.8,In-Kind,GRT-73140,2025-06-25,Compliant,BC-946,2024,USD,1.0
43,FND-00043,5,1,8,693,519891.68,381722.82,210867.26,170855.56,55.2,Grant,GRT-73266,2024-06-04,Compliant,BC-417,2023,USD,1.0
44,FND-00044,8,3,3,423,1519601.57,1298029.98,822890.55,475139.43,63.4,Pooled,GRT-49531,2023-10-10,Compliant,BC-913,2022,USD,1.0
45,FND-00045,1,1,15,362,1056258.29,465516.46,448585.46,16931.0,96.4,Pooled,GRT-74975,2023-04-24,Compliant,BC-448,2022,USD,1.0
46,FND-00046,3,5,5,239,560150.48,546019.55,298698.04,247321.51,54.7,Grant,GRT-48190,2023-06-10,Compliant,BC-572,2022,USD,1.0
47,FND-00047,2,1,9,749,1637567.14,1194012.72,964981.76,229030.96,80.8,Grant,GRT-16256,2024-06-20,Compliant,BC-686,2023,USD,1.0
48,FND-00048,8,1,2,833,1321893.53,940917.22,511837.19,429080.03,54.4,In-Kind,GRT-62056,2024-09-25,At Risk,BC-327,2023,USD,1.0
49,FND-00049,5,7,8,257,1619856.08,793116.47,625940.51,167175.96,78.9,In-Kind,GRT-63376,2023-07-21,Compliant,BC-234,2022,USD,1.0
50,FND-00050,2,1,8,248,733678.12,393044.02,290654.22,102389.8,73.9,Loan,GRT-17731,2022-12-11,Compliant,BC-774,2022,USD,1.0
51,FND-00051,7,7,15,145,1558586.84,841278.41,693397.36,147881.05,82.4,Grant,GRT-92182,2023-01-28,Compliant,BC-417,2021,USD,1.0
52,FND-00052,9,9,14,685,1296354.81,459683.02,395283.57,64399.45,86.0,Pooled,GRT-44807,2024-08-17,Compliant,BC-112,2023,USD,1.0
53,FND-00053,4,3,14,894,231861.89,73888.6,72010.94,1877.66,97.5,In-Kind,GRT-74348,2025-04-16,Compliant,BC-209,2023,USD,1.0
54,FND-00054,4,4,11,791,1439833.44,1423445.12,1131980.11,291465.01,79.5,Loan,GRT-60277,2025-01-05,Compliant,BC-271,2023,USD,1.0
55,FND-00055,7,10,8,1012,94137.42,44364.51,35566.77,8797.74,80.2,Pooled,GRT-24023,2025-09-01,Compliant,BC-711,2024,USD,1.0
56,FND-00056,1,5,14,466,1423985.32,778359.4,651958.14,126401.26,83.8,Loan,GRT-57168,2024-04-04,Compliant,BC-301,2022,USD,1.0
57,FND-00057,8,9,4,853,1318297.46,982633.03,710027.18,272605.85,72.3,Pooled,GRT-34839,2024-10-09,Non-Compliant,BC-994,2023,USD,1.0
58,FND-00058,6,8,7,96,1297025.68,1108914.13,806172.59,302741.54,72.7,Pooled,GRT-15112,2022-11-25,Compliant,BC-200,2021,USD,1.0
59,FND-00059,1,9,5,991,110563.02,108529.05,65205.5,43323.55,60.1,Loan,GRT-70918,2025-01-27,Compliant,BC-421,2024,USD,1.0
60,FND-00060,3,9,2,776,1558039.96,857503.31,630040.0,227463.31,73.5,Pooled,GRT-79659,2024-06-01,Compliant,BC-669,2023,USD,1.0
61,FND-00061,9,5,13,339,110271.81,97116.5,91270.23,5846.27,94.0,In-Kind,GRT-43110,2023-07-28,Compliant,BC-656,2022,USD,1.0
62,FND-00062,3,3,14,802,1230341.76,749973.71,737570.19,12403.52,98.3,Grant,GRT-64060,2024-08-29,Compliant,BC-515,2023,USD,1.0
63,FND-00063,2,2,15,49,190847.53,170227.03,157775.69,12451.34,92.7,Pooled,GRT-12504,2022-09-01,Compliant,BC-780,2021,USD,1.0
64,FND-00064,10,7,6,617,373924.03,131884.38,104236.75,27647.63,79.0,In-Kind,GRT-53018,2024-04-21,At Risk,BC-958,2023,USD,1.0
65,FND-00065,8,9,15,1039,1893818.31,851169.28,784624.74,66544.54,92.2,Grant,GRT-63331,2025-02-25,At Risk,BC-108,2024,USD,1.0
66,FND-00066,6,7,12,152,412089.79,263477.28,171287.07,92190.21,65.0,Loan,GRT-61405,2023-04-26,At Risk,BC-476,2021,USD,1.0
67,FND-00067,1,5,6,58,1641148.12,1407325.69,1046731.34,360594.35,74.4,In-Kind,GRT-12483,2022-08-11,Compliant,BC-404,2021,USD,1.0
68,FND-00068,5,10,6,698,40076.41,37814.59,34810.67,3003.92,92.1,Loan,GRT-61885,2024-03-20,Compliant,BC-119,2023,USD,1.0
69,FND-00069,2,10,4,320,891731.24,817795.25,674578.95,143216.3,82.5,Grant,GRT-51832,2023-04-24,Compliant,BC-996,2022,USD,1.0
70,FND-00070,9,4,4,25,754062.57,599501.95,414540.57,184961.38,69.1,Loan,GRT-55492,2023-01-16,Compliant,BC-139,2021,USD,1.0
71,FND-00071,10,10,5,1024,1190350.77,1108473.97,968014.33,140459.64,87.3,Loan,GRT-95019,2025-03-12,Compliant,BC-836,2024,USD,1.0
72,FND-00072,8,8,11,443,1643418.72,633765.78,595159.17,38606.61,93.9,Pooled,GRT-81578,2024-02-08,At Risk,BC-991,2022,USD,1.0
73,FND-00073,10,4,1,356,458491.59,365773.95,223346.2,142427.75,61.1,In-Kind,GRT-82199,2023-10-01,Compliant,BC-638,2022,USD,1.0
74,FND-00074,1,8,11,788,1525895.96,1073451.65,1036423.87,37027.78,96.6,Loan,GRT-91243,2024-08-05,Compliant,BC-617,2023,USD,1.0
75,FND-00075,6,4,12,586,1758481.25,1056646.76,766018.14,290628.62,72.5,In-Kind,GRT-58432,2023-12-21,Compliant,BC-132,2023,USD,1.0
76,FND-00076,2,1,4,325,128508.4,102988.57,70754.11,32234.46,68.7,Grant,GRT-54917,2023-10-25,At Risk,BC-394,2022,USD,1.0
77,FND-00077,1,9,14,164,963138.27,854447.59,840422.51,14025.08,98.4,Loan,GRT-65408,2023-01-14,Compliant,BC-676,2021,USD,1.0
78,FND-00078,8,1,2,960,112203.02,43725.62,34920.41,8805.21,79.9,Pooled,GRT-23651,2025-04-07,At Risk,BC-350,2024,USD,1.0
79,FND-00079,4,6,6,5,1458303.51,547499.81,365820.82,181678.99,66.8,Pooled,GRT-21086,2022-11-21,Compliant,BC-806,2021,USD,1.0
80,FND-00080,10,8,4,265,591582.73,371672.71,199568.68,172104.03,53.7,Grant,GRT-86389,2023-05-23,At Risk,BC-522,2022,USD,1.0
81,FND-00081,9,4,2,644,164229.77,149148.04,141926.81,7221.23,95.2,In-Kind,GRT-94378,2024-03-28,Compliant,BC-301,2023,USD,1.0
82,FND-00082,5,5,13,1094,1309645.24,741654.49,556877.24,184777.25,75.1,Loan,GRT-18475,2025-10-26,At Risk,BC-486,2024,USD,1.0
83,FND-00083,1,8,11,448,1693448.9,963181.53,670982.64,292198.89,69.7,Pooled,GRT-41100,2024-01-01,Compliant,BC-187,2022,USD,1.0
84,FND-00084,8,2,4,161,1635223.0,519095.89,396084.33,123011.56,76.3,Loan,GRT-67102,2022-10-20,Compliant,BC-731,2021,USD,1.0
85,FND-00085,1,6,10,423,1370970.52,763368.92,424799.81,338569.11,55.6,Pooled,GRT-21833,2023-06-23,Compliant,BC-100,2022,USD,1.0
86,FND-00086,8,6,13,365,656940.18,299920.71,164105.26,135815.45,54.7,Grant,GRT-64968,2023-12-03,Compliant,BC-841,2022,USD,1.0
87,FND-00087,4,3,12,475,1670916.81,899893.38,638697.72,261195.66,71.0,Grant,GRT-68592,2023-11-14,Compliant,BC-491,2022,USD,1.0
88,FND-00088,3,4,10,870,55185.37,52536.26,43100.37,9435.89,82.0,In-Kind,GRT-97086,2025-05-07,Compliant,BC-474,2023,USD,1.0
89,FND-00089,7,3,3,696,444343.39,290225.77,155932.4,134293.37,53.7,Loan,GRT-58766,2024-07-02,Compliant,BC-580,2023,USD,1.0
90,FND-00090,4,6,1,89,1866673.19,693493.61,351776.74,341716.87,50.7,Loan,GRT-30484,2023-03-09,Compliant,BC-430,2021,USD,1.0
91,FND-00091,4,2,6,301,119813.68,56528.49,56127.28,401.21,99.3,Grant,GRT-77284,2023-10-18,Compliant,BC-169,2022,USD,1.0
92,FND-00092,9,2,9,374,230545.09,109910.87,108727.79,1183.08,98.9,Grant,GRT-31500,2023-06-16,Compliant,BC-339,2022,USD,1.0
93,FND-00093,8,3,4,1071,1118384.21,854755.43,753684.16,101071.27,88.2,Pooled,GRT-87370,2025-04-29,Compliant,BC-142,2024,USD,1.0
94,FND-00094,10,10,12,839,1189565.05,564457.97,557903.28,6554.69,98.8,Loan,GRT-16126,2024-08-10,Compliant,BC-516,2023,USD,1.0
95,FND-00095,3,2,12,332,492989.35,303951.55,169242.07,134709.48,55.7,Grant,GRT-26492,2023-09-15,At Risk,BC-964,2022,USD,1.0
96,FND-00096,7,4,2,203,1459501.31,743209.18,555706.57,187502.61,74.8,Loan,GRT-49379,2023-01-30,Compliant,BC-563,2022,USD,1.0
97,FND-00097,9,8,3,881,255095.18,142363.03,110776.44,31586.59,77.8,Loan,GRT-66317,2025-02-22,Compliant,BC-983,2023,USD,1.0
98,FND-00098,5,5,2,62,1266056.69,1019409.95,894366.78,125043.17,87.7,Pooled,GRT-65257,2022-11-30,Compliant,BC-765,2021,USD,1.0
99,FND-00099,6,3,4,625,1103417.37,382123.37,361685.4,20437.97,94.7,In-Kind,GRT-12332,2024-03-27,At Risk,BC-678,2023,USD,1.0
100,FND-00100,8,1,12,306,617056.78,265486.4,199298.82,66187.58,75.1,Pooled,GRT-33710,2023-09-27,Compliant,BC-678,2022,USD,1.0
101,FND-00101,7,10,11,173,260074.24,124158.58,90048.97,34109.61,72.5,Grant,GRT-44575,2023-06-05,Compliant,BC-730,2021,USD,1.0
102,FND-00102,9,4,3,151,741207.62,454540.58,258944.08,195596.5,57.0,Loan,GRT-36205,2022-09-22,Compliant,BC-186,2021,USD,1.0
103,FND-00103,2,4,13,548,1940814.16,1496949.79,1368943.32,128006.47,91.4,Grant,GRT-63364,2023-11-11,Compliant,BC-332,2023,USD,1.0
104,FND-00104,9,10,4,109,1071435.59,817474.95,552509.24,264965.71,67.6,Loan,GRT-44557,2022-08-20,Compliant,BC-471,2021,USD,1.0
105,FND-00105,1,1,3,907,494189.42,150043.72,82518.85,67524.87,55.0,In-Kind,GRT-91481,2025-03-24,Compliant,BC-557,2023,USD,1.0
106,FND-00106,4,7,10,16,794247.78,509085.69,414772.01,94313.68,81.5,Loan,GRT-67398,2022-08-06,Compliant,BC-398,2021,USD,1.0
107,FND-00107,10,3,5,244,424340.39,183282.25,175115.85,8166.4,95.5,Grant,GRT-87851,2023-01-16,Compliant,BC-293,2022,USD,1.0
108,FND-00108,3,8,8,472,809606.62,335792.25,182210.81,153581.44,54.3,Grant,GRT-18520,2023-12-08,Compliant,BC-145,2022,USD,1.0
109,FND-00109,4,2,11,323,1716764.27,1504520.84,1079584.58,424936.26,71.8,In-Kind,GRT-50728,2023-08-30,At Risk,BC-169,2022,USD,1.0
110,FND-00110,8,8,13,976,961145.18,432307.07,242477.73,189829.34,56.1,In-Kind,GRT-30356,2025-06-21,Compliant,BC-767,2024,USD,1.0
111,FND-00111,2,6,6,107,1716240.6,620030.13,575247.36,44782.77,92.8,Loan,GRT-46474,2023-02-09,Non-Compliant,BC-784,2021,USD,1.0
112,FND-00112,7,10,6,67,935429.33,372225.91,273342.8,98883.11,73.4,Grant,GRT-72710,2022-10-08,At Risk,BC-762,2021,USD,1.0
113,FND-00113,3,8,10,1075,150191.78,128024.51,125830.89,2193.62,98.3,Grant,GRT-95684,2025-04-16,Compliant,BC-558,2024,USD,1.0
114,FND-00114,2,3,2,876,984919.83,658761.57,625664.16,33097.41,95.0,Grant,GRT-32411,2024-09-25,Compliant,BC-583,2023,USD,1.0
115,FND-00115,2,2,2,733,827771.01,421733.47,343626.27,78107.2,81.5,Loan,GRT-53919,2024-10-03,Compliant,BC-697,2023,USD,1.0
116,FND-00116,3,2,11,560,1091413.59,426471.07,282030.17,144440.9,66.1,Loan,GRT-25417,2024-06-16,Compliant,BC-384,2023,USD,1.0
117,FND-00117,1,7,8,224,1821363.37,1040973.58,1029857.09,11116.49,98.9,Grant,GRT-76427,2023-01-01,Compliant,BC-636,2022,USD,1.0
118,FND-00118,6,1,9,365,371800.46,216691.98,135743.02,80948.96,62.6,Grant,GRT-39423,2023-09-17,Compliant,BC-724,2022,USD,1.0
119,FND-00119,2,2,5,14,1791776.43,1022688.75,697160.84,325527.91,68.2,Loan,GRT-16440,2022-12-29,Compliant,BC-184,2021,USD,1.0
120,FND-00120,4,6,8,238,698964.65,523391.87,362659.17,160732.7,69.3,Loan,GRT-24023,2023-03-03,Compliant,BC-699,2022,USD,1.0
121,FND-00121,9,6,8,674,1496497.62,928992.63,597262.76,331729.87,64.3,Grant,GRT-25717,2024-10-16,At Risk,BC-407,2023,USD,1.0
122,FND-00122,10,1,3,1086,1344820.31,790689.24,490837.29,299851.95,62.1,Loan,GRT-32774,2025-05-24,Compliant,BC-355,2024,USD,1.0
123,FND-00123,10,1,6,392,1202599.92,919303.89,871230.15,48073.74,94.8,Grant,GRT-13755,2023-09-01,Compliant,BC-406,2022,USD,1.0
124,FND-00124,10,4,6,11,1437913.96,1042037.71,574297.33,467740.38,55.1,Loan,GRT-36008,2022-12-19,Compliant,BC-319,2021,USD,1.0
125,FND-00125,1,6,3,202,1625673.03,1572309.07,1405549.73,166759.34,89.4,Grant,GRT-10470,2023-02-08,Compliant,BC-732,2022,USD,1.0
126,FND-00126,8,5,8,51,1831647.49,1174912.9,788860.85,386052.05,67.1,Pooled,GRT-49371,2022-09-07,Compliant,BC-304,2021,USD,1.0
127,FND-00127,5,7,14,296,1208935.68,654403.61,556046.61,98357.0,85.0,Loan,GRT-39543,2023-08-14,Non-Compliant,BC-924,2022,USD,1.0
128,FND-00128,10,8,3,917,168652.61,136560.25,131338.88,5221.37,96.2,Loan,GRT-73085,2024-11-08,Compliant,BC-399,2024,USD,1.0
129,FND-00129,10,9,13,105,1514783.79,590613.16,518867.05,71746.11,87.9,Pooled,GRT-55581,2022-07-28,Compliant,BC-619,2021,USD,1.0
130,FND-00130,8,6,3,209,1624789.62,1410791.29,1188337.96,222453.33,84.2,Grant,GRT-99028,2023-05-17,Compliant,BC-289,2022,USD,1.0
131,FND-00131,6,10,15,823,876161.34,564558.31,414139.78,150418.53,73.4,In-Kind,GRT-20817,2024-11-13,At Risk,BC-724,2023,USD,1.0
132,FND-00132,2,10,6,784,832772.43,362299.77,292616.4,69683.37,80.8,Pooled,GRT-23885,2024-05-30,Compliant,BC-507,2023,USD,1.0
133,FND-00133,4,6,13,721,721093.7,301234.22,253249.86,47984.36,84.1,In-Kind,GRT-11390,2024-03-30,Compliant,BC-250,2023,USD,1.0
134,FND-00134,9,3,6,1035,1874144.87,879155.08,840661.87,38493.21,95.6,In-Kind,GRT-53851,2025-09-25,Compliant,BC-487,2024,USD,1.0
135,FND-00135,3,10,9,507,1458487.52,497888.63,480282.94,17605.69,96.5,Grant,GRT-10758,2023-10-11,Compliant,BC-996,2022,USD,1.0
136,FND-00136,4,2,14,735,455122.71,213133.9,112801.12,100332.78,52.9,In-Kind,GRT-66007,2024-09-04,Compliant,BC-726,2023,USD,1.0
137,FND-00137,4,1,15,293,417152.2,384500.81,316060.87,68439.94,82.2,Loan,GRT-71279,2023-03-11,Compliant,BC-697,2022,USD,1.0
138,FND-00138,8,8,6,865,1082324.27,1048569.52,1022524.76,26044.76,97.5,Pooled,GRT-36185,2024-12-06,Compliant,BC-715,2023,USD,1.0
139,FND-00139,7,9,8,581,1688381.33,1462228.74,967725.65,494503.09,66.2,Grant,GRT-39860,2024-05-11,At Risk,BC-564,2023,USD,1.0
140,FND-00140,3,4,12,342,585678.64,191681.38,118032.22,73649.16,61.6,Pooled,GRT-42190,2023-07-13,Compliant,BC-218,2022,USD,1.0
141,FND-00141,3,3,4,403,1628232.17,1591476.0,1262159.12,329316.88,79.3,Pooled,GRT-65308,2023-11-03,Compliant,BC-815,2022,USD,1.0
142,FND-00142,8,9,1,976,192749.04,152642.06,107510.38,45131.68,70.4,In-Kind,GRT-43279,2025-01-22,Compliant,BC-531,2024,USD,1.0
143,FND-00143,7,1,5,612,1405532.25,1324327.61,1221597.36,102730.25,92.2,In-Kind,GRT-10560,2024-02-15,Compliant,BC-685,2023,USD,1.0
144,FND-00144,4,9,7,479,1653126.44,1644967.01,1528330.6,116636.41,92.9,Loan,GRT-28126,2023-10-26,Compliant,BC-290,2022,USD,1.0
145,FND-00145,7,1,1,766,658679.13,451346.48,260773.7,190572.78,57.8,Loan,GRT-82441,2024-09-04,Compliant,BC-709,2023,USD,1.0
146,FND-00146,3,7,1,938,1359923.23,773957.22,609291.86,164665.36,78.7,In-Kind,GRT-78877,2024-12-11,Compliant,BC-691,2024,USD,1.0
147,FND-00147,1,7,12,283,119095.44,76952.97,51160.49,25792.48,66.5,Pooled,GRT-43083,2023-01-25,Compliant,BC-131,2022,USD,1.0
148,FND-00148,7,8,11,11,755607.69,423654.16,268618.01,155036.15,63.4,Loan,GRT-70627,2022-05-21,Compliant,BC-752,2021,USD,1.0
149,FND-00149,4,4,12,10,1346457.24,920159.89,627087.03,293072.86,68.1,Pooled,GRT-17630,2022-10-09,Compliant,BC-866,2021,USD,1.0
150,FND-00150,4,8,5,4,1626019.67,1161665.42,932267.68,229397.74,80.3,In-Kind,GRT-10644,2023-01-03,At Risk,BC-762,2021,USD,1.0
151,FND-00151,4,7,1,726,1963607.62,1524378.13,793744.2,730633.93,52.1,Loan,GRT-98123,2024-11-29,Compliant,BC-897,2023,USD,1.0
152,FND-00152,3,10,10,227,1026964.64,660027.31,648409.0,11618.31,98.2,Pooled,GRT-26547,2022-11-18,Compliant,BC-658,2022,USD,1.0
153,FND-00153,2,7,10,87,1934907.03,957701.22,834080.68,123620.54,87.1,Loan,GRT-76703,2022-12-13,Compliant,BC-744,2021,USD,1.0
154,FND-00154,10,8,10,114,1695105.75,978377.84,614068.01,364309.83,62.8,Grant,GRT-43142,2022-10-04,Compliant,BC-833,2021,USD,1.0
155,FND-00155,10,5,13,641,834351.57,420360.63,377329.93,43030.7,89.8,In-Kind,GRT-71105,2024-01-16,Compliant,BC-939,2023,USD,1.0
156,FND-00156,2,4,12,565,1479545.34,758489.62,744731.26,13758.36,98.2,Pooled,GRT-12973,2024-02-02,Compliant,BC-470,2023,USD,1.0
157,FND-00157,5,8,14,791,676999.83,320005.3,311782.96,8222.34,97.4,In-Kind,GRT-66132,2024-10-08,Compliant,BC-900,2023,USD,1.0
158,FND-00158,4,6,4,538,1894178.46,1478640.08,1199440.66,279199.42,81.1,In-Kind,GRT-32465,2024-05-26,Compliant,BC-917,2022,USD,1.0
159,FND-00159,9,10,9,616,1404592.1,749961.78,554263.71,195698.07,73.9,Pooled,GRT-45962,2024-02-08,Compliant,BC-464,2023,USD,1.0
160,FND-00160,8,7,9,482,184965.45,68996.62,65930.11,3066.51,95.6,Loan,GRT-71834,2023-08-16,Compliant,BC-653,2022,USD,1.0
161,FND-00161,2,9,11,1010,1720204.24,1661414.87,832889.1,828525.77,50.1,In-Kind,GRT-89384,2025-03-20,Compliant,BC-829,2024,USD,1.0
162,FND-00162,7,7,9,919,175146.82,154052.5,124791.23,29261.27,81.0,Grant,GRT-83580,2025-03-28,Compliant,BC-401,2024,USD,1.0
163,FND-00163,2,10,9,851,1909297.92,1422173.78,853762.57,568411.21,60.0,Grant,GRT-63502,2024-10-15,Compliant,BC-852,2023,USD,1.0
164,FND-00164,7,9,8,659,1919934.28,1038013.05,689979.26,348033.79,66.5,In-Kind,GRT-12128,2024-02-23,Compliant,BC-175,2023,USD,1.0
165,FND-00165,6,6,5,357,1231390.83,1173182.6,819492.42,353690.18,69.9,Grant,GRT-18547,2023-07-19,Compliant,BC-934,2022,USD,1.0
166,FND-00166,5,2,5,714,1006216.33,385110.46,332984.2,52126.26,86.5,In-Kind,GRT-52027,2024-09-03,Compliant,BC-793,2023,USD,1.0
167,FND-00167,1,4,7,118,1226550.11,769149.93,724911.96,44237.97,94.2,Pooled,GRT-82499,2022-08-26,Compliant,BC-157,2021,USD,1.0
168,FND-00168,3,10,14,722,1143668.8,866008.63,507131.39,358877.24,58.6,In-Kind,GRT-21838,2024-08-27,Compliant,BC-364,2023,USD,1.0
169,FND-00169,8,5,8,423,678522.57,492166.71,347243.01,144923.7,70.6,Grant,GRT-78691,2024-02-27,Compliant,BC-502,2022,USD,1.0
170,FND-00170,9,1,10,616,788949.64,738324.16,387319.6,351004.56,52.5,Grant,GRT-87627,2024-01-28,Compliant,BC-110,2023,USD,1.0
171,FND-00171,5,4,7,617,265915.87,173846.76,144350.04,29496.72,83.0,Pooled,GRT-46098,2024-06-25,Compliant,BC-670,2023,USD,1.0
172,FND-00172,5,1,4,197,490091.95,218886.87,176338.75,42548.12,80.6,In-Kind,GRT-23448,2023-02-27,Compliant,BC-154,2022,USD,1.0
